model	revision	files	logical_bytes
IDEA-Research/grounding-dino-tiny	a2bb814dd30d776dcf7e30523b00659f4f141c71	8	690305545
OpenGVLab/InternVL3_5-30B-A3B-Flash	c6de385aa9d3d71037dd5e3aa2bf30de4265e65a	25	61999001808
Qwen/Qwen2.5-VL-7B-Instruct	cc594898137f460bfe9f0759e9844b3ce807cfb5	14	16595961188
Qwen/Qwen3-VL-8B-Instruct	0c351dd01ed87e9c1b53cbc748cba10e6187ff3b	14	17545907231
Qwen/Qwen3-VL-8B-Thinking	92f3c4b4feadd3a016ef468d103bb5f58b2a2c6b	14	17545907058
Qwen/Qwen3-VL-Embedding-2B	9f2f7e710d6d81056aa5c0a4f04764fec6bb7bda	11	4271028116
Qwen/Qwen3-VL-Reranker-2B	93eac850736c677b682c67fc0302b03e552a7b16	12	4271027019
Qwen/Qwen3.5-27B	fc05daec18b0a78c049392ed2e771dde82bdf654	21	55586062652
Qwen/Qwen3.5-9B	c202236235762e1c871ad0ccb60c8ee5ba337b9a	13	19329302904
Qwen/Qwen3.8-27B	1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0	28	55586036499
VideoJudge/Qwen2.5-VL-7B-Instruct-VideoJudgeWithRubric-RS-20K	c9ba16f05c61929dcb7dafd50c43dbd5253bcb03	16	16600354889
allenai/Molmo2-8B	e28fa28597e5ec5e0cca2201dd8ab33d48bc4a1b	23	34658641646
google/siglip-base-patch16-224	7fd15f0689c79d79e38b1c2e2e2370a7bf2761ed	7	815871927
google/siglip2-so400m-patch14-384	e8e487298228002f3d8a82e0cd5c8ea9c567f57f	6	4578554864
openbmb/MiniCPM-V-4_5	fd3209b2e0580e346fc33d2c6f85b6e9332eecda	11	11557968
sentence-transformers/all-MiniLM-L6-v2	1110a243fdf4706b3f48f1d95db1a4f5529b4d41	6	91567205
