cluster,size,top_terms,example
0,35,"price, section, examined, discount, store, candy","What scent was the first candle I picked up, and what shape were the discounted "
1,92,"tool, clean, table, kitchen, floor, step",I moved an object from the floor to the kitchen island during the video. What wa
2,78,"ingredient, pot, add, sauce, meat, pan",Which ingredient that I retrieved from the refrigerator did I chop and add to th
3,79,"color, sign, paint, visible, bird, statue","Which did I paint first, the house's exterior siding or the adjacent wooden fenc"
4,52,"dog, parked, vehicle, red, man, car","When I first arrived, I saw a red car parked alone near the museum building. Lat"
5,63,"building, sign, passing, street, elevated, park","After passing a baseball field and then a soccer field in the park, what buildin"
6,71,"exhibit, book, artist, sign, read, title",Earlier I saw a sign for the Old Stage Road that mentioned Rocky Mount as a stop
7,72,"sign, warning, station, speed, intersection, street","What was the name on the first sign I saw after stepping onto the sidewalk, and "
8,99,"item, store, holding, closet, bag, clothing","After I walked past the vending machines, what was I holding when I reached the "
9,59,"trail, path, walk, beach, surface, early","After I left the grassy trail that ran alongside the flooded marsh, what was the"
