cluster,label,size,top_terms,example
0,"ingredient, pot",52,"ingredient, pot, add, pan, container, meat",Which ingredient that I retrieved from the refrigerator did I chop and add to th
1,"dog, fenced",14,"dog, fenced, park, signpost, dogs, action","Which dog did I take outside, and where was the other dog last seen indoors?"
2,"sign, model",90,"sign, model, color, paint, section, number","Which did I paint first, the house's exterior siding or the adjacent wooden fenc"
3,"sign, passed",98,"sign, passed, building, walked, walk, path","After I entered the building through the revolving doors, what was the first dis"
4,"examine, surface",45,"examine, surface, almond, sprinkled, coating, hinges",What type of recreational area did I encounter after passing the child on the sc
5,"building, sign",111,"building, sign, passed, traffic, walk, parked","After I left the grassy trail that ran alongside the flooded marsh, what was the"
6,"kitchen, floor",79,"kitchen, floor, shelf, ata, pile, bucket",I moved an object from the floor to the kitchen island during the video. What wa
7,"exhibit, gallery",65,"exhibit, gallery, artist, display, plaque, visit","Earlier I saw a decorated jar from the Middle Predynastic period, and later a si"
8,"person, color",85,"person, color, store, man, shirt, white","After I walked past the vending machines, what was I holding when I reached the "
9,"item, store",61,"item, store, product, examined, price, clothing","What scent was the first candle I picked up, and what shape were the discounted "
